Language,Title,Body,Sub-menu,Images,Path
en,Support,support.html,,acquia.png; commerce-guys.png; document.png; envelope-gray.png,support
en,Hosting – Features,hosting_features.html,menu-submenu-hosting,,hosting/features
en,Training,training.html,,training1.jpg; commerce-guys.png; training1.jpg; acquia.png; training1.jpg; drupalizeme.png,training
en,Hosting,hosting.html,menu-submenu-hosting,arrow-small.png; icon1.jpg; icon2.jpg; icon3.jpg; icon4.jpg; icon5.jpg; icon6.jpg; arrow-large.png,hosting
en,Hosting – How it works,hosting_howitworks.html,menu-submenu-hosting,icon1.jpg; icon2.jpg; icon3.jpg; icon4.jpg; icon5.jpg; icon6.jpg; icon3.jpg; icon4.jpg,hosting/how-it-works
en,Hosting – Plans,hosting_plans.html,menu-submenu-hosting,,hosting/plans
